title,available_copies,total_rentals,repeat_rentals,repeat_percentage
"HUNTER ALTER",2,5,1,20.00
"CADDYSHACK JEDI",4,16,3,18.75
"UNTOUCHABLES SUNRISE",2,8,1,12.50
"ROCK INSTINCT",6,17,2,11.76
"BIRDCAGE CASPER",3,9,1,11.11
"CARIBBEAN LIBERTY",3,9,1,11.11
"DAUGHTER MADIGAN",4,9,1,11.11
"DISCIPLE MOTHER",6,19,2,10.53
"JET NEIGHBORS",6,20,2,10.00
"SUSPECTS QUILLS",7,30,3,10.00
"WAGON JAWS",3,10,1,10.00
"WIFE TURN",8,31,3,9.68
"EMPIRE MALKOVICH",6,21,2,9.52
"SLEUTH ORIENT",5,21,2,9.52
"WAIT CIDER",6,21,2,9.52
"AMERICAN CIRCUS",6,22,2,9.09
"FLATLINERS KILLER",6,22,2,9.09
"WHISPERER GIANT",6,22,2,9.09
"GENTLEMEN STAGE",6,23,2,8.70
"OUTBREAK DIVINE",5,23,2,8.70
"CALIFORNIA BIRDS",4,12,1,8.33
"CENTER DINOSAUR",6,24,2,8.33
"DANGEROUS UPTOWN",4,12,1,8.33
"GUNFIGHT MOON",6,24,2,8.33
"MIGHTY LUCK",3,12,1,8.33
"MINORITY KISS",3,12,1,8.33
"WEDDING APOLLO",6,24,2,8.33
"MALLRATS UNITED",7,25,2,8.00
"STREETCAR INTENTIONS",8,25,2,8.00
"TELEMARK HEARTBREAKERS",8,25,2,8.00
"ALASKA PHANTOM",7,26,2,7.69
"BEDAZZLED MARRIED",4,13,1,7.69
"FANTASY TROOPERS",6,26,2,7.69
"FELLOWSHIP AUTUMN",6,26,2,7.69
"HUNGER ROOF",4,13,1,7.69
"MEMENTO ZOOLANDER",4,13,1,7.69
"USUAL UNTOUCHABLES",4,13,1,7.69
"DETECTIVE VISION",7,27,2,7.41
"MOVIE SHAKESPEARE",6,27,2,7.41
"GLASS DYING",4,14,1,7.14
"GRINCH MASSAGE",5,14,1,7.14
"LOVELY JINGLE",5,14,1,7.14
"NOTORIOUS REUNION",4,14,1,7.14
"OUTLAW HANKY",6,14,1,7.14
"SADDLE ANTITRUST",3,14,1,7.14
"TRIP NEWTON",8,28,2,7.14
"DEER VIRGINIAN",8,29,2,6.90
"MOON BUNCH",8,29,2,6.90
"VIDEOTAPE ARSENIC",7,29,2,6.90
"VIRGINIAN PLUTO",8,29,2,6.90
"BOILED DARES",4,15,1,6.67
"FROST HEAD",8,30,2,6.67
"LUST LOCK",6,15,1,6.67
"MASSACRE USUAL",7,30,2,6.67
"MODEL FISH",4,15,1,6.67
"SONS INTERVIEW",6,15,1,6.67
"VIETNAM SMOOCHY",4,15,1,6.67
"WITCHES PANIC",7,30,2,6.67
"RUSH GOODFELLAS",8,31,2,6.45
"CHICAGO NORTH",5,16,1,6.25
"COLDBLOODED DARLING",5,16,1,6.25
"COMMAND DARLING",6,16,1,6.25
"GRADUATE LORD",5,16,1,6.25
"WORDS HUNTER",4,16,1,6.25
"ROCKETEER MOTHER",8,33,2,6.06
