country,most_preferred_category,rental_count,percent_share
"American Samoa",Sports,5,25.00
Iraq,Sports,6,22.22
Tonga,Sports,4,22.22
"Virgin Islands, U.S.",Animation,7,21.88
Moldova,Children,7,20.59
Armenia,Animation,5,20.00
Bahrain,Sports,5,20.00
"Congo, The Democratic Republic of the",Travel,10,20.00
Gambia,Comedy,6,20.00
Senegal,Sci-Fi,5,20.00
"Sri Lanka",Children,6,20.00
"North Korea",Documentary,6,19.35
"French Guiana",Animation,4,18.18
Madagascar,Horror,4,18.18
Tunisia,Sci-Fi,4,17.39
Afghanistan,Comedy,3,16.67
Estonia,Family,5,16.67
"New Zealand",Drama,4,16.67
Nauru,Horror,5,16.13
"Saint Vincent and the Grenadines",Horror,4,16.00
"Dominican Republic",Foreign,12,15.58
Finland,Action,4,15.38
Kuwait,Foreign,4,15.38
Slovakia,Drama,4,15.38
Tuvalu,Children,4,15.38
Runion,Sci-Fi,7,15.22
Mozambique,Documentary,12,15.00
Cameroon,Foreign,8,14.81
Sudan,Drama,8,14.81
Turkmenistan,Games,4,14.81
"Holy See (Vatican City State)",Documentary,5,14.71
Anguilla,Travel,5,14.29
Brunei,Sports,5,14.29
"Faroe Islands",Family,4,14.29
Liechtenstein,Action,4,14.29
Malawi,Music,4,14.29
Bulgaria,Sports,7,14.00
"Czech Republic",Children,4,13.79
Hungary,Family,4,13.79
Nepal,Foreign,3,13.64
Angola,Animation,7,13.46
Kazakstan,Drama,7,13.46
Myanmar,Comedy,7,13.46
Algeria,Sci-Fi,12,13.33
"Hong Kong",Sports,4,13.33
Latvia,Sci-Fi,8,13.33
Ethiopia,Family,3,13.04
Greece,Sports,7,12.96
Kenya,Action,7,12.96
Paraguay,Horror,8,12.90
Yemen,Action,15,12.82
Morocco,Foreign,9,12.68
Chad,Sports,4,12.50
Lithuania,Children,3,12.50
"Saudi Arabia",Animation,15,12.40
Azerbaijan,Horror,7,12.28
Yugoslavia,Animation,7,12.28
Belarus,Action,8,12.12
Zambia,Animation,4,12.12
Spain,Games,17,11.97
"United Arab Emirates",Drama,10,11.90
Greenland,Games,4,11.76
Sweden,Games,4,11.76
Peru,Sports,13,11.61
Austria,Family,9,11.54
Ecuador,Animation,10,11.49
"Puerto Rico",Games,7,11.48
Switzerland,Classics,7,11.48
France,Action,11,11.46
Ukraine,Action,18,11.39
Cambodia,Documentary,6,11.32
Romania,Sci-Fi,7,11.29
Chile,Action,8,11.27
"French Polynesia",Classics,6,11.11
Canada,Animation,15,10.95
"South Africa",Sports,31,10.88
Poland,Sports,22,10.84
Tanzania,Music,9,10.84
Germany,Animation,21,10.71
Bolivia,Children,5,10.64
Malaysia,Sci-Fi,9,10.59
Egypt,Sci-Fi,17,10.56
Argentina,Documentary,37,10.51
Thailand,Sci-Fi,10,10.42
"South Korea",Sports,14,10.37
Philippines,Animation,58,10.21
Israel,Sci-Fi,10,10.10
Colombia,Animation,16,10.06
Oman,Foreign,5,10.00
Taiwan,Animation,30,9.84
Netherlands,Animation,13,9.70
"United Kingdom",Sports,21,9.59
Italy,Family,18,9.52
Venezuela,Action,16,9.41
Pakistan,Sports,12,9.38
Vietnam,New,16,9.30
Iran,Classics,20,8.89
Turkey,Drama,34,8.76
Indonesia,Action,32,8.72
Mexico,Sports,69,8.67
Brazil,Sci-Fi,64,8.56
Nigeria,Foreign,30,8.52
Bangladesh,Foreign,8,8.42
"Russian Federation",Family,60,8.42
Japan,Animation,68,8.24
China,Animation,113,7.92
"United States",Documentary,74,7.64
India,Action,118,7.51
