country,language,rental_count,percent_share
Afghanistan,English,18,100.00
Algeria,English,90,100.00
"American Samoa",English,20,100.00
Angola,English,52,100.00
Anguilla,English,35,100.00
Argentina,English,352,100.00
Armenia,English,25,100.00
Austria,English,78,100.00
Azerbaijan,English,57,100.00
Bahrain,English,25,100.00
Bangladesh,English,95,100.00
Belarus,English,66,100.00
Bolivia,English,47,100.00
Brazil,English,748,100.00
Brunei,English,35,100.00
Bulgaria,English,50,100.00
Cambodia,English,53,100.00
Cameroon,English,54,100.00
Canada,English,137,100.00
Chad,English,32,100.00
Chile,English,71,100.00
China,English,1426,100.00
Colombia,English,159,100.00
"Congo, The Democratic Republic of the",English,50,100.00
"Czech Republic",English,29,100.00
"Dominican Republic",English,77,100.00
Ecuador,English,87,100.00
Egypt,English,161,100.00
Estonia,English,30,100.00
Ethiopia,English,23,100.00
"Faroe Islands",English,28,100.00
Finland,English,26,100.00
France,English,96,100.00
"French Guiana",English,22,100.00
"French Polynesia",English,54,100.00
Gambia,English,30,100.00
Germany,English,196,100.00
Greece,English,54,100.00
Greenland,English,34,100.00
"Holy See (Vatican City State)",English,34,100.00
"Hong Kong",English,30,100.00
Hungary,English,29,100.00
India,English,1572,100.00
Indonesia,English,367,100.00
Iran,English,225,100.00
Iraq,English,27,100.00
Israel,English,99,100.00
Italy,English,189,100.00
Japan,English,825,100.00
Kazakstan,English,52,100.00
Kenya,English,54,100.00
Kuwait,English,26,100.00
Latvia,English,60,100.00
Liechtenstein,English,28,100.00
Lithuania,English,24,100.00
Madagascar,English,22,100.00
Malawi,English,28,100.00
Malaysia,English,85,100.00
Mexico,English,796,100.00
Moldova,English,34,100.00
Morocco,English,71,100.00
Mozambique,English,80,100.00
Myanmar,English,52,100.00
Nauru,English,31,100.00
Nepal,English,22,100.00
Netherlands,English,134,100.00
"New Zealand",English,24,100.00
Nigeria,English,352,100.00
"North Korea",English,31,100.00
Oman,English,50,100.00
Pakistan,English,128,100.00
Paraguay,English,62,100.00
Peru,English,112,100.00
Philippines,English,568,100.00
Poland,English,203,100.00
"Puerto Rico",English,61,100.00
Romania,English,62,100.00
Runion,English,46,100.00
"Russian Federation",English,713,100.00
"Saint Vincent and the Grenadines",English,25,100.00
"Saudi Arabia",English,121,100.00
Senegal,English,25,100.00
Slovakia,English,26,100.00
"South Africa",English,285,100.00
"South Korea",English,135,100.00
Spain,English,142,100.00
"Sri Lanka",English,30,100.00
Sudan,English,54,100.00
Sweden,English,34,100.00
Switzerland,English,61,100.00
Taiwan,English,305,100.00
Tanzania,English,83,100.00
Thailand,English,96,100.00
Tonga,English,18,100.00
Tunisia,English,23,100.00
Turkey,English,388,100.00
Turkmenistan,English,27,100.00
Tuvalu,English,26,100.00
Ukraine,English,158,100.00
"United Arab Emirates",English,84,100.00
"United Kingdom",English,219,100.00
"United States",English,968,100.00
Venezuela,English,170,100.00
Vietnam,English,172,100.00
"Virgin Islands, U.S.",English,32,100.00
Yemen,English,117,100.00
Yugoslavia,English,57,100.00
Zambia,English,33,100.00
